NUMFRAMEWORKS,NUMPLATFORM,NUMDATABASE,numberlang,FormalEducation,UndergradMajor,CompanySize,YearsCodingProf,ConvertedSalary,HoursComputer,Gender,RaceEthnicity,Age,SalaryRange
2,2,2,9,1,,5,16,100000,12,Male,White or of European descent,40,3
3,1,10,18,1,STEM,60,19,155000,12,Male,Hispanic or Latino/Latina,40,5
4,2,2,10,3,STEM,20000,4,130000,14,Male,White or of European descent,21,4
1,2,2,10,4,STEM,7500,1,75000,8,Non-Male,White or of European descent,21,2
2,1,3,5,3,NON-STEM,60,1,50000,12,Male,White or of European descent,30,1
2,3,3,9,3,STEM,300,7,150000,12,Male,White or of European descent,30,4
,3,2,4,4,STEM,20000,30,122000,14,Male,White or of European descent,50,4
2,1,2,6,4,STEM,15,13,125000,12,Male,White or of European descent,30,4
,,5,9,4,STEM,20000,4,78300,8,Male,White or of European descent,30,3
2,3,7,6,2,NON-STEM,20000,7,63000,14,Male,White or of European descent,30,2
1,5,12,9,3,STEM,60,10,160000,12,Male,East Asian,30,5
3,1,1,4,4,STEM,7500,10,105000,12,Male,White or of European descent,30,4
3,1,5,10,3,STEM,300,4,57500,12,Male,White or of European descent,21,2
1,,,4,4,STEM,20000,7,60000,8,Male,White or of European descent,30,2
1,2,4,6,3,STEM,60,4,80000,12,Male,White or of European descent,30,3
2,2,3,6,3,STEM,20000,28,200000,8,Male,Hispanic or Latino/Latina,50,5
,1,3,2,3,NON-STEM,3000,13,100000,8,Male,White or of European descent,50,3
1,4,3,5,1,STEM,60,10,85000,8,Male,Hispanic or Latino/Latina,30,3
2,5,5,7,3,STEM,750,16,72696,12,Male,White or of European descent,40,2
,,,2,4,NON-STEM,60,7,125000,14,Non-Male,East Asian,30,4
,,1,4,1,NON-STEM,15,7,98000,12,Male,White or of European descent,40,3
2,1,1,6,1,,5,1,50000,8,Male,Other,40,1
1,3,5,7,3,STEM,300,22,138000,14,Male,White or of European descent,50,4
,1,1,4,3,STEM,3000,7,51000,8,Male,White or of European descent,40,2
3,5,6,6,3,STEM,20000,4,79000,12,Male,White or of European descent,40,3
1,2,3,5,3,STEM,3000,4,83000,12,Male,White or of European descent,50,3
2,5,3,10,3,STEM,300,1,29000,12,Male,White or of European descent,21,1
1,,6,6,3,STEM,60,13,110000,12,Male,White or of European descent,30,4
1,3,2,13,3,STEM,7500,10,53000,12,Male,,40,2
1,5,4,5,3,STEM,60,7,52000,12,Male,White or of European descent,30,2
4,2,6,8,3,STEM,300,4,92000,8,Male,White or of European descent,30,3
2,8,4,12,3,STEM,300,7,78000,12,Male,White or of European descent,30,3
1,3,2,6,3,NON-STEM,5,4,55000,12,Male,White or of European descent,21,2
1,1,2,6,3,STEM,3000,13,102000,12,Male,White or of European descent,30,4
1,,1,2,4,NON-STEM,20000,4,132000,8,Non-Male,White or of European descent,30,4
1,,3,4,4,STEM,300,1,88000,8,Male,White or of European descent,30,3
,2,1,8,4,STEM,20000,4,89200,8,Male,White or of European descent,30,3
1,2,1,3,4,STEM,3000,7,103000,8,Male,White or of European descent,30,4
3,1,3,8,3,STEM,60,1,70000,8,Male,White or of European descent,21,2
1,4,,6,1,NON-STEM,60,1,67000,14,,,,2
1,,4,6,3,NON-STEM,300,25,73000,8,Male,White or of European descent,50,2
1,1,1,2,1,NON-STEM,60,16,160000,12,Male,White or of European descent,40,5
3,5,5,14,3,STEM,15,13,170000,12,Male,,40,5
3,2,2,7,3,STEM,60,4,85000,14,Male,White or of European descent,30,3
1,1,,4,3,STEM,60,10,180000,8,Male,White or of European descent,40,5
3,1,2,6,3,STEM,750,7,80000,12,Male,White or of European descent,30,3
1,3,2,11,3,STEM,60,4,90000,12,Male,White or of European descent,21,3
4,8,3,10,3,,60,4,63000,12,Male,White or of European descent,21,2
,,,,1,STEM,60,4,80000,12,,,,3
1,1,1,3,3,STEM,3000,7,77000,12,Male,White or of European descent,30,3
1,5,3,10,3,STEM,300,16,146000,12,Male,White or of European descent,40,4
1,2,3,7,3,,60,7,65405,8,Male,White or of European descent,40,2
3,4,4,12,3,STEM,20000,10,156000,12,Male,White or of European descent,30,5
1,3,1,14,3,STEM,300,25,160000,14,Male,White or of European descent,40,5
,4,3,10,4,STEM,20000,7,172000,12,Male,White or of European descent,30,5
1,1,1,6,3,STEM,3000,10,93000,8,Male,Other,40,3
1,3,7,10,3,STEM,5,13,130000,12,Male,White or of European descent,40,4
4,4,2,7,2,STEM,750,22,105000,12,Male,White or of European descent,50,4
,3,3,5,4,STEM,300,16,140000,8,Male,White or of European descent,40,4
3,5,4,9,2,STEM,750,10,112000,12,Male,White or of European descent,30,4
4,4,7,13,3,STEM,300,4,102000,12,Male,White or of European descent,21,4
2,,3,8,1,STEM,5,10,96000,12,Male,White or of European descent,30,3
1,1,3,6,1,STEM,300,7,66000,8,Male,White or of European descent,30,2
,,1,2,4,STEM,300,1,70000,8,Non-Male,White or of European descent,40,2
,5,1,4,3,STEM,7500,7,75000,12,Male,White or of European descent,30,2
4,3,2,6,4,STEM,20000,4,113000,4,Male,Other,30,4
3,4,7,9,3,STEM,750,13,55000,12,Male,White or of European descent,40,2
3,2,5,16,4,STEM,20000,13,140000,12,Male,Other,40,4
2,5,3,12,4,STEM,60,4,58000,12,Male,White or of European descent,30,2
1,,2,6,4,STEM,60,4,68000,12,Male,Other,30,2
1,2,3,3,3,STEM,15,4,90000,12,Non-Male,White or of European descent,30,3
3,7,5,9,1,STEM,3000,7,175000,12,Male,White or of European descent,30,5
1,1,5,6,3,STEM,3000,7,99000,8,Male,White or of European descent,30,3
1,3,5,7,2,NON-STEM,20000,4,111000,12,Male,White or of European descent,30,4
1,2,2,5,1,STEM,60,25,168000,8,Male,White or of European descent,50,5
2,1,2,7,1,STEM,60,19,123000,14,Male,White or of European descent,40,4
,,2,4,3,NON-STEM,3000,4,53000,12,Male,White or of European descent,30,2
2,8,14,13,3,NON-STEM,3000,22,160000,12,Male,White or of European descent,60,5
2,2,3,8,1,STEM,5,4,65000,12,Male,White or of European descent,30,2
2,,2,2,3,,60,1,52000,8,Male,White or of European descent,30,2
3,15,6,9,1,NON-STEM,60,19,165000,12,Male,Hispanic or Latino/Latina,40,5
1,1,2,7,3,STEM,15,7,49000,12,Male,White or of European descent,21,1
,,1,2,4,NON-STEM,300,19,116000,12,,,50,4
,1,4,4,4,STEM,15,4,105000,12,Male,White or of European descent,30,4
4,6,4,10,3,STEM,15,7,75000,12,Male,White or of European descent,30,2
4,8,11,15,3,STEM,60,7,96000,12,Male,White or of European descent,30,3
5,9,4,10,3,STEM,15,19,85000,12,Male,White or of European descent,40,3
1,1,1,9,3,STEM,3000,4,66300,14,Male,White or of European descent,21,2
1,1,,8,3,STEM,3000,4,105000,12,Male,White or of European descent,30,4
1,4,3,8,3,NON-STEM,60,10,75000,8,Male,White or of European descent,40,2
,1,2,6,3,,60,30,120000,8,Male,White or of European descent,50,4
1,6,5,12,3,STEM,300,1,64000,12,Male,White or of European descent,21,2
,,,1,4,STEM,750,13,107228,8,Male,White or of European descent,40,4
1,,1,4,3,STEM,300,7,75000,12,Male,White or of European descent,40,2
3,7,3,11,1,,60,4,33000,12,,White or of European descent,21,1
1,,1,6,3,NON-STEM,7500,4,98000,12,Male,White or of European descent,30,3
2,1,1,7,1,STEM,5,4,85000,8,Male,White or of European descent,30,3
3,4,2,9,4,STEM,300,13,170000,8,Male,White or of European descent,40,5
1,4,1,7,3,STEM,15,4,54000,8,Male,White or of European descent,30,2
,2,2,9,3,STEM,3000,22,125000,8,Male,Other,50,4
3,2,2,9,3,STEM,15,13,115000,8,Male,White or of European descent,40,4
3,6,6,13,2,STEM,60,4,60000,14,Male,East Asian,30,2
2,3,1,10,3,STEM,20000,1,103000,8,Male,White or of European descent,21,4
,1,1,2,1,STEM,3000,22,85000,12,Male,White or of European descent,40,3
1,1,2,6,3,STEM,300,1,48000,12,Male,White or of European descent,21,1
2,4,3,6,3,STEM,300,10,110000,8,Male,White or of European descent,30,4
1,2,2,5,3,NON-STEM,60,7,116000,14,Male,White or of European descent,30,4
,1,1,2,3,STEM,5,1,42500,12,Male,White or of European descent,21,1
,,2,3,3,STEM,20000,25,84000,12,,,50,3
,1,2,6,3,STEM,3000,4,72000,12,Male,White or of European descent,30,2
2,,1,3,3,STEM,5,1,36000,12,Male,White or of European descent,21,1
2,5,3,6,1,STEM,60,4,57000,14,Male,White or of European descent,30,2
,,1,4,4,STEM,300,1,70000,8,Male,East Asian,30,2
,1,1,6,3,STEM,3000,1,73500,12,Male,White or of European descent,30,2
2,3,2,9,1,STEM,300,10,90000,8,Male,White or of European descent,40,3
,,2,1,3,,3000,30,102000,8,Male,White or of European descent,65,4
2,3,6,6,3,STEM,20000,10,110000,12,Male,East Asian,30,4
1,2,6,7,3,STEM,3000,16,87000,12,Male,White or of European descent,40,3
1,3,4,7,4,NON-STEM,20000,13,90000,12,Male,White or of European descent,40,3
,,1,8,1,STEM,20000,4,57000,,,,,2
2,1,2,8,3,STEM,60,4,75000,12,Male,White or of European descent,30,2
3,1,2,7,4,STEM,15,10,97000,12,Male,White or of European descent,30,3
,2,1,5,3,STEM,300,4,60000,14,Male,White or of European descent,21,2
3,2,7,10,3,,60,16,143000,12,Male,,40,4
2,2,3,6,3,STEM,60,1,70000,12,Non-Male,White or of European descent,21,2
,,,2,4,STEM,750,10,160000,,Male,East Asian,50,5
1,1,4,6,3,STEM,20000,4,100000,12,Male,White or of European descent,30,3
2,1,2,2,3,STEM,300,10,130000,8,Non-Male,White or of European descent,30,4
1,3,1,11,3,STEM,15,4,65000,8,Male,White or of European descent,30,2
,4,,4,4,STEM,60,7,105000,8,Male,White or of European descent,40,4
4,3,6,7,1,,20000,16,120000,14,Male,Hispanic or Latino/Latina,40,4
2,6,5,10,3,STEM,20000,19,132000,8,Male,White or of European descent,40,4
1,2,3,8,1,NON-STEM,5,10,127500,8,Male,White or of European descent,40,4
2,2,1,9,3,STEM,20000,1,75000,8,Male,Other,21,2
5,4,8,12,1,STEM,3000,22,130000,12,Male,White or of European descent,40,4
,,5,5,4,,20000,19,78000,12,Male,White or of European descent,60,3
,3,,9,3,STEM,750,30,95000,12,Male,White or of European descent,60,3
1,3,2,5,3,STEM,20000,7,147000,12,Male,White or of European descent,30,4
,1,,1,4,STEM,20000,1,100000,12,Male,Other,,3
,1,3,3,1,NON-STEM,20000,19,65000,14,Male,White or of European descent,50,2
4,2,2,9,3,NON-STEM,750,7,160000,12,Male,White or of European descent,40,5
2,1,1,6,3,STEM,300,22,127000,12,Male,White or of European descent,40,4
4,8,5,8,4,NON-STEM,750,1,60000,12,Male,White or of European descent,30,2
1,3,2,10,3,STEM,300,4,67500,8,Non-Male,Black or of African descent,21,2
1,2,2,7,3,STEM,3000,7,70000,12,Male,White or of European descent,40,2
3,3,5,12,3,NON-STEM,300,4,85000,12,Male,White or of European descent,40,3
1,1,,2,3,STEM,60,1,91000,14,Male,White or of European descent,21,3
4,3,6,9,3,STEM,750,4,57000,14,Male,White or of European descent,21,2
2,1,7,8,3,STEM,5,13,104000,8,Male,White or of European descent,30,4
,3,2,6,3,STEM,3000,16,112000,14,Male,White or of European descent,40,4
,1,1,6,4,STEM,3000,7,170000,8,Male,White or of European descent,30,5
,2,,5,4,NON-STEM,15,1,60000,8,Male,White or of European descent,30,2
2,1,2,4,3,STEM,750,13,84000,12,,,30,3
1,1,1,3,3,NON-STEM,3000,28,125000,12,Male,White or of European descent,50,4
1,4,1,7,4,STEM,5,1,65000,12,Male,White or of European descent,30,2
,,5,6,3,NON-STEM,300,4,85000,8,Male,Black or of African descent,40,3
5,3,6,6,3,STEM,300,4,115000,8,Male,Hispanic or Latino/Latina,30,4
,1,3,6,4,STEM,300,25,93000,12,Non-Male,White or of European descent,50,3
3,3,4,9,4,STEM,5,4,90000,12,Male,White or of European descent,30,3
,,,2,4,STEM,20000,1,60000,8,Male,East Asian,40,2
2,4,2,9,3,STEM,60,13,125000,12,Male,White or of European descent,30,4
3,,4,4,4,NON-STEM,3000,4,125000,12,Male,Hispanic or Latino/Latina,30,4
2,7,1,8,1,STEM,300,22,105000,4,Male,White or of European descent,40,4
1,3,2,12,3,STEM,20000,1,85000,12,Male,Hispanic or Latino/Latina,30,3
1,5,5,8,4,STEM,60,7,155000,8,Male,White or of European descent,40,5
3,,4,8,3,STEM,3000,4,68000,12,Male,White or of European descent,21,2
3,4,1,6,1,STEM,60,25,114000,12,Male,Black or of African descent,50,4
,,1,6,4,STEM,60,1,120000,12,Non-Male,White or of European descent,30,4
3,3,8,9,4,STEM,300,7,87000,12,Male,Other,30,3
,,1,3,4,NON-STEM,300,4,90000,12,Male,White or of European descent,30,3
5,,2,8,3,STEM,3000,7,85000,14,Male,White or of European descent,40,3
,1,1,4,3,STEM,20000,10,110000,12,Male,White or of European descent,30,4
4,5,5,13,1,STEM,5,1,50000,8,Male,White or of European descent,21,1
,,1,1,3,STEM,300,1,61250,8,Male,Hispanic or Latino/Latina,21,2
,1,5,8,1,,3000,7,77760,14,Male,White or of European descent,40,3
2,2,11,10,4,STEM,3000,4,110000,12,Male,White or of European descent,30,4
,,1,5,4,STEM,60,4,50000,12,Non-Male,White or of European descent,40,1
1,5,5,7,4,NON-STEM,300,4,110000,12,Male,White or of European descent,30,4
2,4,7,9,1,,7500,7,130000,12,Male,White or of European descent,30,4
,,,2,4,STEM,60,7,103000,12,Male,White or of European descent,30,4
3,1,5,13,4,STEM,750,4,120000,12,Male,White or of European descent,30,4
1,,3,4,4,NON-STEM,7500,4,97500,8,Male,White or of European descent,30,3
,2,2,5,3,STEM,300,7,93000,8,Male,White or of European descent,30,3
5,4,6,8,3,STEM,5,7,110000,8,Male,White or of European descent,30,4
3,8,4,11,2,NON-STEM,15,16,100000,12,Male,White or of European descent,40,3
6,3,7,9,,,15,4,86500,14,Male,Hispanic or Latino/Latina,30,3
,3,2,6,1,STEM,300,13,126000,12,Male,White or of European descent,30,4
1,1,3,6,3,STEM,3000,1,55000,12,Non-Male,White or of European descent,30,2
2,5,3,10,3,STEM,15,7,40000,12,Male,White or of European descent,30,1
1,2,,5,4,STEM,60,10,150000,8,,,40,4
1,1,1,6,4,NON-STEM,7500,13,56000,12,Non-Male,White or of European descent,40,2
1,1,3,5,4,STEM,20000,13,135000,8,Male,East Asian,,4
,,2,9,4,NON-STEM,5,4,75500,12,Male,White or of European descent,40,3
4,4,4,11,4,STEM,60,10,120000,14,Male,White or of European descent,30,4
2,4,2,7,1,NON-STEM,300,25,55000,8,Male,White or of European descent,50,2
5,3,5,6,3,STEM,20000,1,85000,12,Male,Hispanic or Latino/Latina,21,3
2,2,4,6,3,STEM,3000,19,150000,12,Male,White or of European descent,40,4
1,1,6,5,3,STEM,20000,4,195000,8,Male,White or of European descent,30,5
,2,,3,3,STEM,3000,30,170000,8,Male,Hispanic or Latino/Latina,60,5
2,1,6,13,4,STEM,7500,30,155000,8,Male,White or of European descent,50,5
2,2,2,8,4,STEM,300,19,171912,12,Male,White or of European descent,50,5
,,1,2,4,STEM,300,7,120000,8,Male,White or of European descent,40,4
,1,3,4,4,NON-STEM,20000,4,100000,8,Male,East Asian,40,3
1,1,2,6,3,STEM,20000,7,76272,8,Male,White or of European descent,30,3
3,1,4,6,1,STEM,15,4,50000,12,Male,White or of European descent,21,1
,,4,9,1,NON-STEM,60,10,80000,12,Male,White or of European descent,21,3
2,6,4,8,3,STEM,300,4,70064,8,Male,White or of European descent,30,2
1,2,2,6,3,STEM,5,4,48000,12,Male,White or of European descent,30,1
1,3,1,4,4,STEM,20000,7,80000,12,Male,White or of European descent,30,3
2,3,4,8,1,,300,16,120000,8,Male,White or of European descent,40,4
2,4,3,2,3,STEM,20000,7,110000,14,Male,White or of European descent,30,4
,,,,4,STEM,20000,7,134000,,,,,4
3,4,4,6,4,STEM,300,4,105000,12,Male,Other,30,4
1,4,4,8,4,STEM,20000,4,84000,12,Male,White or of European descent,30,3
,1,2,6,3,STEM,15,7,70000,8,Male,White or of European descent,30,2
3,10,6,9,3,NON-STEM,60,19,128000,12,Male,White or of European descent,40,4
1,1,1,4,4,STEM,60,1,53000,12,Male,White or of European descent,30,2
4,2,6,6,3,STEM,7500,4,76600,12,Male,White or of European descent,30,3
,1,1,4,3,STEM,20000,4,180000,12,Male,White or of European descent,30,5
1,2,1,7,3,STEM,300,13,98000,8,Male,White or of European descent,30,3
2,,1,3,4,STEM,3000,13,130000,12,Male,Hispanic or Latino/Latina,40,4
3,5,5,7,1,NON-STEM,3000,25,110000,12,Male,White or of European descent,50,4
,2,2,5,4,NON-STEM,300,4,84000,12,Male,Other,40,3
,,,,3,STEM,300,7,130000,,,,,4
4,1,2,8,3,STEM,3000,13,80000,8,Male,White or of European descent,30,3
3,6,6,9,3,STEM,15,19,150000,8,Male,White or of European descent,40,4
1,2,2,7,4,STEM,750,1,70500,12,Male,White or of European descent,30,2
,,4,12,3,STEM,20000,13,46000,8,Non-Male,White or of European descent,60,1
1,4,,4,4,STEM,60,4,105475,12,Male,White or of European descent,50,4
,1,2,6,3,,750,4,125000,12,Male,White or of European descent,50,4
1,1,3,2,2,STEM,3000,30,94000,12,Male,White or of European descent,50,3
1,1,1,2,3,STEM,5,25,97000,12,Male,White or of European descent,50,3
3,1,1,5,1,STEM,5,1,24000,8,Male,White or of European descent,21,
,1,,4,1,NON-STEM,300,1,49000,8,Male,Hispanic or Latino/Latina,30,1
,7,1,6,3,,3000,4,89000,8,Male,White or of European descent,30,3
2,1,5,6,4,STEM,20000,4,145000,12,Male,White or of European descent,30,4
1,5,3,6,1,STEM,300,10,160000,8,Male,Hispanic or Latino/Latina,30,5
1,1,2,8,3,STEM,20000,25,48000,8,Male,White or of European descent,50,1
2,7,4,5,3,STEM,60,7,130000,12,,,30,4
4,4,6,3,4,STEM,300,7,120000,12,Male,White or of European descent,30,4
2,3,4,6,3,STEM,5,1,85000,14,Male,White or of European descent,21,3
1,4,3,5,4,STEM,5,22,95000,8,Male,White or of European descent,50,3
,3,5,7,3,STEM,3000,1,40250,8,Male,White or of European descent,21,1
,1,1,4,3,STEM,20000,1,75000,8,Male,White or of European descent,30,2
2,4,2,7,1,,60,19,105000,14,,White or of European descent,50,4
3,2,2,7,4,STEM,20000,1,200000,,,,,5
1,4,2,7,3,STEM,300,7,78000,12,Male,White or of European descent,30,3
,1,,4,4,STEM,20000,10,135000,8,Male,Other,30,4
,3,3,7,2,NON-STEM,60,19,85000,8,Male,White or of European descent,40,3
1,4,,5,2,STEM,20000,1,65000,8,Male,White or of European descent,40,2
,1,1,4,3,STEM,7500,1,50000,12,Male,White or of European descent,21,1
1,5,3,5,4,NON-STEM,3000,28,188600,12,Male,White or of European descent,50,5
,3,2,8,3,STEM,3000,25,180000,8,Male,White or of European descent,50,5
1,3,4,11,4,STEM,15,1,70000,12,Male,White or of European descent,30,2
,,2,8,3,NON-STEM,20000,16,95000,12,Male,White or of European descent,40,3
,1,2,5,3,STEM,300,1,50000,12,Male,White or of European descent,30,1
3,3,5,4,4,STEM,60,10,150000,12,Male,Other,40,4
2,1,2,6,2,NON-STEM,60,1,55000,12,Non-Male,White or of European descent,40,2
1,2,2,7,3,STEM,300,4,80000,12,Male,White or of European descent,30,3
1,3,,6,3,STEM,5,4,100000,8,Male,Other,21,3
1,1,1,7,3,STEM,60,13,94000,12,Male,White or of European descent,30,3
2,5,6,10,4,STEM,60,10,100000,14,Male,White or of European descent,30,3
3,10,7,21,3,STEM,750,4,85000,12,Male,White or of European descent,21,3
3,4,3,11,3,STEM,60,4,75000,8,Male,Hispanic or Latino/Latina,30,2
2,3,5,5,3,STEM,20000,22,100000,8,Non-Male,White or of European descent,50,3
2,4,7,7,2,NON-STEM,7500,13,96000,12,Male,White or of European descent,30,3
,,1,4,4,NON-STEM,300,1,58000,8,Male,White or of European descent,30,2
3,1,3,10,3,STEM,15,13,125000,12,Male,,40,4
,1,5,9,1,NON-STEM,5,30,85000,12,Male,White or of European descent,60,3
,1,4,13,3,STEM,300,16,200000,12,Male,White or of European descent,40,5
,1,1,2,3,STEM,300,7,90000,12,Male,White or of European descent,30,3
2,5,3,6,1,,60,16,125000,12,Male,White or of European descent,30,4
,1,1,2,3,STEM,20000,13,162000,12,Male,White or of European descent,40,5
5,2,4,10,4,NON-STEM,20000,4,146000,12,Male,White or of European descent,30,4
1,2,2,6,1,STEM,300,16,88000,8,Male,White or of European descent,40,3
,1,1,1,3,STEM,20000,30,135000,8,Male,White or of European descent,50,4
1,1,4,5,4,NON-STEM,3000,1,100000,8,Male,White or of European descent,21,3
,5,3,7,4,STEM,20000,28,160000,14,Male,White or of European descent,50,5
3,2,3,9,4,STEM,300,10,80000,14,Male,White or of European descent,30,3
,,1,6,3,STEM,300,1,94500,8,Non-Male,Black or of African descent,30,3
,,2,4,3,STEM,20000,10,240000,8,Male,White or of European descent,30,6
1,1,2,13,3,NON-STEM,300,7,64800,12,Non-Male,White or of European descent,40,2
5,6,6,10,3,STEM,5,4,24000,12,Male,White or of European descent,21,
,4,1,3,4,STEM,20000,4,52015,8,Male,White or of European descent,30,2
3,2,5,8,3,STEM,750,7,59500,12,Male,White or of European descent,30,2
1,6,7,11,1,,60,1,45000,14,Male,,30,1
3,5,4,6,3,STEM,15,4,55000,12,Male,White or of European descent,21,2
1,1,1,6,4,STEM,7500,10,118000,12,Male,Other,40,4
1,3,3,6,3,STEM,20000,16,194000,12,Non-Male,White or of European descent,40,5
,,3,3,3,STEM,3000,1,105000,12,Non-Male,White or of European descent,21,4
2,2,9,11,3,STEM,750,7,72000,8,Male,White or of European descent,30,2
2,5,6,14,3,NON-STEM,20000,10,77000,12,Male,White or of European descent,40,3
,1,2,2,3,STEM,300,25,180000,12,Male,White or of European descent,50,5
2,2,4,7,1,STEM,300,7,108000,8,Male,White or of European descent,21,4
4,2,7,10,2,STEM,60,4,60000,12,Male,White or of European descent,30,2
,,,,3,STEM,7500,1,56600,,,,,2
,,1,2,4,STEM,60,10,150000,12,Male,White or of European descent,40,4
4,9,8,8,3,STEM,20000,1,130000,8,Non-Male,Other,21,4
,2,,2,4,STEM,3000,19,100000,12,Male,White or of European descent,50,3
1,1,3,6,3,STEM,20000,7,90000,8,Male,Other,30,3
2,4,5,7,4,STEM,750,19,75000,8,Non-Male,White or of European descent,40,2
1,1,4,4,4,NON-STEM,60,1,105000,12,Male,White or of European descent,30,4
2,3,1,6,3,NON-STEM,60,10,90000,12,Male,White or of European descent,40,3
1,1,2,9,1,STEM,3000,4,154000,12,Non-Male,East Asian,40,5
3,2,1,6,4,STEM,20000,1,120000,12,Male,White or of European descent,30,4
,3,1,4,3,STEM,7500,25,85032,12,Male,,50,3
2,3,4,10,3,STEM,7500,13,150200,12,Male,White or of European descent,30,5
,1,2,5,3,STEM,60,4,80080,12,Male,Other,30,3
1,3,3,4,4,STEM,20000,30,205000,8,Male,East Asian,60,6
,1,2,3,3,NON-STEM,300,1,90000,12,Male,White or of European descent,30,3
3,4,3,7,3,STEM,7500,1,49200,8,Male,White or of European descent,21,1
,2,1,7,1,,5,16,90000,12,Male,White or of European descent,30,3
2,4,2,4,3,NON-STEM,20000,4,75000,8,Male,White or of European descent,21,2
,2,2,7,1,STEM,300,25,115000,14,Male,White or of European descent,50,4
4,6,5,7,4,STEM,3000,10,85000,12,Male,White or of European descent,30,3
,1,3,9,2,STEM,300,19,98628,12,Male,White or of European descent,40,3
2,1,4,6,1,NON-STEM,60,1,50000,12,Male,Other,30,1
1,1,,5,3,NON-STEM,750,10,116000,8,Male,White or of European descent,30,4
3,2,4,6,3,STEM,300,1,85000,12,Male,East Asian,21,3
5,2,8,8,3,STEM,60,10,195000,8,Male,White or of European descent,40,5
1,2,1,6,4,STEM,20000,4,120524,12,Male,White or of European descent,30,4
1,1,3,5,3,STEM,3000,7,120000,8,Non-Male,White or of European descent,30,4
2,4,3,7,1,NON-STEM,5,10,80000,12,Male,White or of European descent,40,3
1,5,3,8,3,NON-STEM,60,1,38000,12,Male,White or of European descent,21,1
,2,1,3,4,STEM,20000,13,100000,12,Male,White or of European descent,40,3
2,2,2,4,3,STEM,300,19,177000,12,Male,White or of European descent,40,5
2,3,6,8,2,STEM,15,1,35000,8,Male,White or of European descent,21,1
2,7,2,14,4,STEM,3000,19,170000,8,Male,White or of European descent,40,5
2,3,3,5,3,STEM,60,30,75000,8,Male,White or of European descent,50,2
2,4,2,6,4,STEM,5,1,135200,14,Male,White or of European descent,40,4
2,7,5,7,1,STEM,300,16,165000,14,Male,White or of European descent,30,5
2,5,,7,3,STEM,300,13,135441,8,Male,White or of European descent,40,4
3,7,2,12,3,STEM,750,4,85000,8,Male,East Asian,21,3
2,,4,12,3,STEM,60,4,103000,8,Male,White or of European descent,30,4
,,2,3,3,NON-STEM,20000,4,80000,12,Non-Male,White or of European descent,30,3
2,3,3,6,3,STEM,300,4,68000,14,Male,White or of European descent,30,2
2,2,3,4,3,STEM,15,7,132000,12,Male,White or of European descent,30,4
1,1,2,10,3,STEM,750,16,210000,12,Male,Other,40,6
2,2,3,5,4,NON-STEM,3000,4,92000,12,Male,White or of European descent,30,3
3,3,5,12,3,STEM,5,7,115000,14,Male,White or of European descent,30,4
,2,2,5,3,STEM,3000,16,141000,8,Male,White or of European descent,40,4
2,,2,5,4,NON-STEM,300,1,66500,14,Male,White or of European descent,30,2
5,4,2,8,3,STEM,60,4,70000,8,Male,White or of European descent,30,2
,,3,2,4,NON-STEM,750,4,115000,12,Non-Male,White or of European descent,40,4
1,2,2,11,3,STEM,60,16,120000,12,Male,White or of European descent,40,4
1,,1,3,3,NON-STEM,3000,1,96000,8,Male,White or of European descent,40,3
2,5,3,9,3,STEM,20000,10,220000,12,Male,White or of European descent,40,6
2,8,5,8,3,,20000,19,115000,12,Male,White or of European descent,40,4
4,3,4,6,3,NON-STEM,20000,1,127000,12,Male,East Asian,30,4
2,2,2,5,4,STEM,7500,4,80000,12,Male,White or of European descent,40,3
4,10,6,14,1,STEM,750,19,135000,12,Male,Other,40,4
,,,,3,STEM,20000,1,75000,,,,,2
1,2,2,5,2,STEM,60,4,50000,12,Male,Hispanic or Latino/Latina,30,1
,,2,4,3,NON-STEM,300,1,85000,12,Male,White or of European descent,30,3
2,1,5,8,3,NON-STEM,7500,16,125000,8,Male,White or of European descent,50,4
,1,2,3,1,STEM,750,10,128000,8,Male,White or of European descent,40,4
1,2,1,4,4,STEM,20000,19,175000,12,Male,East Asian,50,5
1,6,3,11,2,STEM,300,16,70000,8,Male,White or of European descent,40,2
3,3,5,6,3,STEM,3000,16,70000,12,Male,White or of European descent,40,2
3,3,2,8,3,STEM,3000,4,63000,12,Male,White or of European descent,30,2
1,3,,3,3,STEM,300,1,79000,12,Male,White or of European descent,30,3
4,1,3,7,3,STEM,5,1,55000,8,,,,2
1,5,,11,3,STEM,300,1,40000,14,Male,White or of European descent,21,1
2,4,3,12,3,STEM,60,22,115000,12,Male,White or of European descent,40,4
2,5,6,9,2,STEM,3000,16,110000,12,Male,White or of European descent,40,4
4,2,7,11,3,NON-STEM,20000,1,65000,14,Male,White or of European descent,21,2
,3,5,4,3,STEM,60,10,125000,12,Male,White or of European descent,30,4
1,3,4,6,3,STEM,3000,7,84000,12,Male,,30,3
3,,1,6,4,STEM,5,4,90000,8,Male,White or of European descent,30,3
,1,2,3,3,STEM,60,16,150000,12,Male,White or of European descent,40,4
4,8,3,8,1,NON-STEM,750,4,75000,12,Male,White or of European descent,30,2
1,3,2,7,3,NON-STEM,750,1,69000,14,Male,White or of European descent,30,2
1,3,1,12,1,STEM,60,19,95000,14,Male,Black or of African descent,40,3
1,3,4,8,3,STEM,60,10,78000,14,Male,White or of European descent,30,3
2,2,4,6,4,STEM,750,10,135000,14,Male,White or of European descent,30,4
