NUMFRAMEWORKS,NUMPLATFORM,NUMDATABASE,numberlang,FormalEducation,UndergradMajor,CompanySize,YearsCodingProf,ConvertedSalary,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,FrameworkWorkedWith,HoursComputer,Gender,RaceEthnicity,Age,SalaryRange
,,2,3,3,NON-STEM,20000,4,80000,Python;R;SQL,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",,,12,Non-Male,White or of European descent,30,3
2,3,3,6,3,STEM,300,4,68000,JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,MySQL;Amazon DynamoDB;Memcached,Amazon Echo;AWS;Linux,Angular;Node.js,14,Male,White or of European descent,30,2
2,2,3,4,3,STEM,15,7,132000,CoffeeScript;JavaScript;Ruby;CSS,Redis;PostgreSQL;Elasticsearch,iOS;Linux,Node.js;React,12,Male,White or of European descent,30,4
1,1,2,10,3,STEM,750,16,210000,C;C++;Java;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,MySQL;MariaDB,Linux,Django,12,Male,Other,40,6
2,2,3,5,4,NON-STEM,3000,4,92000,JavaScript;Python;R;SQL;Bash/Shell,PostgreSQL;Apache Hive;Amazon Redshift,AWS;Serverless,Node.js;Spark,12,Male,White or of European descent,30,3
3,3,5,12,3,STEM,5,7,115000,C;C++;C#;Java;JavaScript;Perl;PHP;SQL;Swift;TypeScript;HTML;CSS,"Redis;SQL Server;MySQL;PostgreSQL;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Amazon Echo;iOS;Windows Desktop or Server,Angular;.NET Core;Node.js,14,Male,White or of European descent,30,4
,2,2,5,3,STEM,3000,16,141000,C#;Java;JavaScript;SQL;CSS,SQL Server;MySQL,Linux;Windows Desktop or Server,,8,Male,White or of European descent,40,4
2,,2,5,4,NON-STEM,300,1,66500,Java;JavaScript;SQL;CSS;Bash/Shell,SQL Server;MySQL,,Node.js;React,14,Male,White or of European descent,30,2
5,4,2,8,3,STEM,60,4,70000,C#;JavaScript;R;SQL;VB.NET;HTML;CSS;Bash/Shell,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Gaming console;Google Home;Mac OS;Windows Desktop or Server,.NET Core;Node.js;React;TensorFlow;Torch/PyTorch,8,Male,White or of European descent,30,2
,,3,2,4,NON-STEM,750,4,115000,Python;R,MySQL;PostgreSQL;Google BigQuery,,,12,Non-Male,White or of European descent,40,4
1,2,2,11,3,STEM,60,16,120000,Erlang;Go;JavaScript;Lua;PHP;Python;Ruby;Kotlin;HTML;CSS;Bash/Shell,MongoDB;PostgreSQL,Android;Linux,Node.js,12,Male,White or of European descent,40,4
1,,1,3,3,NON-STEM,3000,1,96000,C#;R;SQL,SQL Server,,.NET Core,8,Male,White or of European descent,40,3
2,5,3,9,3,STEM,20000,10,220000,C++;C#;Java;JavaScript;Objective-C;Python;Swift;Kotlin;Bash/Shell,"Redis;SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Android;Azure;iOS;Mac OS;Windows Desktop or Server,.NET Core;Spring,12,Male,White or of European descent,40,6
2,8,5,8,3,,20000,19,115000,Java;JavaScript;Python;SQL;VBA;Visual Basic 6;HTML;CSS,MongoDB;SQL Server;MySQL;PostgreSQL;MariaDB,Arduino;Drupal;Heroku;Linux;Raspberry Pi;SharePoint;Windows Desktop or Server;WordPress,Angular;Node.js,12,Male,White or of European descent,40,4
4,3,4,6,3,NON-STEM,20000,1,127000,JavaScript;PHP;Python;Scala;HTML;CSS,Cassandra;MongoDB;MySQL;SQLite,AWS;Linux;Windows Desktop or Server,Angular;Django;Node.js;React,12,Male,East Asian,30,4
2,2,2,5,4,STEM,7500,4,80000,C#;JavaScript;Python;SQL;Bash/Shell,SQL Server;Elasticsearch,Linux;Windows Desktop or Server,Angular;Django,12,Male,White or of European descent,40,3
4,10,6,14,1,STEM,750,19,135000,Assembly;C++;Java;JavaScript;Objective-C;Python;Ruby;SQL;Swift;TypeScript;Kotlin;HTML;CSS;Bash/Shell,Redis;MySQL;Amazon DynamoDB;Memcached;Amazon RDS/Aurora;Elasticsearch,Android;Apple Watch or Apple TV;AWS;Azure;Gaming console;Heroku;iOS;Linux;Mac OS;Serverless,Node.js;React;Spark;Spring,12,Male,Other,40,4
,,,,3,STEM,20000,1,75000,,,,,,,,,2
1,2,2,5,2,STEM,60,4,50000,JavaScript;PHP;SQL;HTML;CSS,MySQL;PostgreSQL,Heroku;Salesforce,Node.js,12,Male,Hispanic or Latino/Latina,30,1
,,2,4,3,NON-STEM,300,1,85000,C;JavaScript;Python;SQL,MySQL;Google BigQuery,,,12,Male,White or of European descent,30,3
2,1,5,8,3,NON-STEM,7500,16,125000,Groovy;Java;JavaScript;Python;Scala;SQL;HTML;CSS,MongoDB;SQL Server;MySQL;SQLite;Neo4j,Windows Desktop or Server,Hadoop;Spark,8,Male,White or of European descent,50,4
,1,2,3,1,STEM,750,10,128000,Clojure;Ruby;Bash/Shell,PostgreSQL;Elasticsearch,AWS,,8,Male,White or of European descent,40,4
1,2,1,4,4,STEM,20000,19,175000,Python;Scala;HTML;Bash/Shell,SQLite,Linux;Mac OS,Spark,12,Male,East Asian,50,5
1,6,3,11,2,STEM,300,16,70000,C++;C#;Java;JavaScript;Lua;PHP;Python;SQL;HTML;CSS;Bash/Shell,SQL Server;MySQL;PostgreSQL,Arduino;AWS;ESP8266;Linux;Raspberry Pi;Windows Desktop or Server,.NET Core,8,Male,White or of European descent,40,2
3,3,5,6,3,STEM,3000,16,70000,C#;JavaScript;SQL;TypeScript;HTML;CSS,"Redis;SQL Server;SQLite;Microsoft Azure (Tables, CosmosDB, SQL, etc);Neo4j",Arduino;Azure;Windows Desktop or Server,Angular;.NET Core;Xamarin,12,Male,White or of European descent,40,2
3,3,2,8,3,STEM,3000,4,63000,C#;Java;JavaScript;VBA;VB.NET;Visual Basic 6;HTML;CSS,SQL Server;Oracle,AWS;Serverless;Windows Desktop or Server,.NET Core;React;Spring,12,Male,White or of European descent,30,2
1,3,,3,3,STEM,300,1,79000,C++;Python;Bash/Shell,,AWS;Linux;Windows Desktop or Server,TensorFlow,12,Male,White or of European descent,30,3
4,1,3,7,3,STEM,5,1,55000,JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,MySQL;PostgreSQL;Amazon RDS/Aurora,AWS,Angular;Node.js;React;Cordova,8,,,,2
1,5,,11,3,STEM,300,1,40000,C++;C#;Go;Haskell;Java;JavaScript;Matlab;Python;SQL;HTML;CSS,,Android;Arduino;AWS;Google Cloud Platform/App Engine;Linux,.NET Core,14,Male,White or of European descent,21,1
2,4,3,12,3,STEM,60,22,115000,C;C++;CoffeeScript;Java;JavaScript;Perl;PHP;Python;SQL;HTML;CSS;Bash/Shell,MongoDB;MySQL;Elasticsearch,Android;Linux;Raspberry Pi;WordPress,Angular;Node.js,12,Male,White or of European descent,40,4
2,5,6,9,2,STEM,3000,16,110000,C++;Java;PHP;Python;SQL;Kotlin;HTML;CSS;Bash/Shell,Cassandra;MongoDB;MySQL;MariaDB;Memcached;Elasticsearch,AWS;Gaming console;Linux;Mac OS;Windows Desktop or Server,Django;Spring,12,Male,White or of European descent,40,4
4,2,7,11,3,NON-STEM,20000,1,65000,C;C#;Groovy;Java;JavaScript;Python;Rust;SQL;HTML;CSS;Bash/Shell,Cassandra;MongoDB;SQL Server;PostgreSQL;Oracle;Neo4j;Elasticsearch,Linux;Raspberry Pi,Angular;Spring;TensorFlow;Torch/PyTorch,14,Male,White or of European descent,21,2
,3,5,4,3,STEM,60,10,125000,C;C++;R;Bash/Shell,SQL Server;MySQL;PostgreSQL;MariaDB;Amazon Redshift,Linux;Mac OS;Windows Desktop or Server,,12,Male,White or of European descent,30,4
1,3,4,6,3,STEM,3000,7,84000,JavaScript;Python;SQL;HTML;CSS;Bash/Shell,Redis;SQL Server;MySQL;Elasticsearch,Linux;Mac OS;Raspberry Pi,Django,12,Male,,30,3
3,,1,6,4,STEM,5,4,90000,Python;R;Scala;SQL;VBA;Bash/Shell,Apache Hive,,Hadoop;Spark;TensorFlow,8,Male,White or of European descent,30,3
,1,2,3,3,STEM,60,16,150000,Python;SQL;Bash/Shell,MySQL;PostgreSQL,Linux,,12,Male,White or of European descent,40,4
4,8,3,8,1,NON-STEM,750,4,75000,C++;C#;F#;JavaScript;SQL;TypeScript;CSS;Bash/Shell,MongoDB;SQL Server;SQLite,AWS;Azure;Linux;Mac OS;Mainframe;Raspberry Pi;Windows Desktop or Server;Firebase,Angular;.NET Core;Node.js;React,12,Male,White or of European descent,30,2
1,3,2,7,3,NON-STEM,750,1,69000,JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,PostgreSQL;MariaDB,Drupal;Linux;WordPress,Django,14,Male,White or of European descent,30,2
1,3,1,12,1,STEM,60,19,95000,C#;F#;Java;JavaScript;Python;Ruby;SQL;VBA;VB.NET;HTML;CSS;Bash/Shell,SQL Server,Heroku;SharePoint;Windows Desktop or Server,Node.js,14,Male,Black or of African descent,40,3
1,3,4,8,3,STEM,60,10,78000,JavaScript;Objective-C;PHP;Ruby;SQL;HTML;CSS;Bash/Shell,SQL Server;MySQL;PostgreSQL;SQLite,AWS;Salesforce;WordPress,Cordova,14,Male,White or of European descent,30,3
2,2,4,6,4,STEM,750,10,135000,Java;JavaScript;PHP;Python;SQL;Bash/Shell,MongoDB;MySQL;Amazon DynamoDB;Amazon Redshift,AWS;Mac OS,Node.js;Spring,14,Male,White or of European descent,30,4
1,,4,7,4,STEM,20000,4,140000,C++;JavaScript;Python;R;SQL;HTML;CSS,MongoDB;SQL Server;MySQL;Elasticsearch,,Node.js,12,Male,Other,30,4
2,3,4,7,3,NON-STEM,750,4,78000,CoffeeScript;JavaScript;Ruby;SQL;HTML;CSS;Bash/Shell,MySQL;PostgreSQL;MariaDB;Elasticsearch,AWS;Linux;WordPress,Node.js;React,8,Male,White or of European descent,30,3
2,1,2,5,4,NON-STEM,300,16,110000,C;Python;R;SQL;Bash/Shell,PostgreSQL;Google Cloud Storage,Linux,Spark;TensorFlow,8,Male,White or of European descent,50,4
1,2,,5,4,NON-STEM,300,4,103500,JavaScript;Python;SQL;VBA;HTML,,Linux;Windows Desktop or Server,Django,12,Male,White or of European descent,40,4
5,10,8,9,3,STEM,15,7,67000,C#;Java;JavaScript;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,"SQL Server;MySQL;PostgreSQL;Amazon DynamoDB;Amazon Redshift;Amazon RDS/Aurora;Microsoft Azure (Tables, CosmosDB, SQL, etc);Neo4j",Android;Arduino;AWS;Azure;iOS;Mac OS;Raspberry Pi;Serverless;Windows Desktop or Server;Windows Phone,Angular;.NET Core;Node.js;Xamarin;Spring,12,Male,White or of European descent,21,2
2,1,2,6,3,STEM,750,10,150000,JavaScript;Python;SQL;HTML;CSS;Bash/Shell,MySQL;PostgreSQL,AWS,Node.js;React,14,Male,Other,40,4
1,2,2,7,3,STEM,300,7,75000,C#;JavaScript;Python;R;SQL;HTML;CSS,SQL Server;MySQL,AWS;Windows Desktop or Server,Node.js,12,Male,White or of European descent,30,2
3,1,3,5,3,STEM,20000,16,133000,C#;JavaScript;SQL;HTML;CSS,SQL Server;PostgreSQL;Oracle,AWS,.NET Core;Node.js;React,8,Male,White or of European descent,40,4
1,1,3,5,3,STEM,60,19,80000,C#;JavaScript;SQL;HTML;CSS,MongoDB;SQL Server;MySQL,Windows Desktop or Server,.NET Core,12,Male,White or of European descent,40,3
2,2,5,5,3,STEM,300,1,85000,JavaScript;SQL;HTML;CSS;Bash/Shell,MongoDB;Redis;SQL Server;PostgreSQL;Amazon RDS/Aurora,AWS;Linux,Node.js;React,12,Male,White or of European descent,30,3
2,2,2,8,3,STEM,20000,4,78500,C;C#;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,SQL Server;PostgreSQL,Linux;Windows Desktop or Server,.NET Core;Django,12,Male,White or of European descent,30,3
1,2,3,6,3,STEM,15,4,90000,C#;JavaScript;SQL;VB.NET;HTML;CSS,"Redis;SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Azure;Windows Desktop or Server,.NET Core,8,Male,White or of European descent,30,3
1,2,1,5,4,STEM,20000,1,73000,Matlab;Python;R;SQL;Bash/Shell,MySQL,AWS;Linux,TensorFlow,8,Male,White or of European descent,30,2
,2,2,5,3,STEM,300,19,120000,C#;JavaScript;SQL;HTML;CSS,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Azure;Windows Desktop or Server,,12,Male,White or of European descent,40,4
1,1,,5,4,STEM,20000,1,120000,C;C++;Lua;Python;Bash/Shell,,Linux,TensorFlow,12,Male,White or of European descent,30,4
2,2,3,7,1,STEM,60,22,105000,Java;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,MongoDB;PostgreSQL;Amazon DynamoDB,AWS;Salesforce,Node.js;Torch/PyTorch,8,Male,White or of European descent,50,4
,2,5,6,4,STEM,750,1,48000,C#;JavaScript;Python;SQL;HTML;CSS,MongoDB;MySQL;SQLite;Oracle;Google Cloud Storage,Heroku;Linux,,,,,,1
1,6,4,10,4,STEM,300,10,100000,C#;JavaScript;PHP;Python;TypeScript;VBA;VB.NET;Visual Basic 6;HTML;CSS,"SQL Server;MySQL;SQLite;Microsoft Azure (Tables, CosmosDB, SQL, etc)",AWS;Azure;SharePoint;Windows Desktop or Server;Windows Phone;WordPress,.NET Core,12,Male,White or of European descent,30,3
1,3,4,3,4,STEM,300,1,120000,Clojure;Python;SQL,Amazon DynamoDB;Apache HBase;Amazon Redshift;Elasticsearch,AWS;Mac OS;Serverless,Hadoop,8,Male,East Asian,30,4
3,9,5,9,3,STEM,60,16,134000,C#;JavaScript;PHP;Ruby;SQL;TypeScript;HTML;CSS;Bash/Shell,Redis;SQL Server;MySQL;PostgreSQL;SQLite,Amazon Echo;Android;AWS;Google Home;Heroku;Linux;Raspberry Pi;SharePoint;WordPress,.NET Core;Node.js;React,12,Male,White or of European descent,40,4
3,4,7,11,3,STEM,300,7,145000,C;Java;JavaScript;Python;R;Ruby;Scala;SQL;HTML;CSS;Bash/Shell,MongoDB;Redis;MySQL;PostgreSQL;Memcached;Amazon Redshift;Elasticsearch,Arduino;ESP8266;Google Home;Raspberry Pi,Angular;Spark;Spring,12,Male,White or of European descent,30,4
,4,2,8,1,,60,7,47000,Java;JavaScript;PHP;Python;SQL;HTML;CSS;Bash/Shell,MySQL;Amazon RDS/Aurora,AWS;Google Cloud Platform/App Engine;Linux;WordPress,,12,Male,White or of European descent,30,1
3,3,3,6,3,STEM,3000,13,70000,Java;JavaScript;SQL;TypeScript;HTML;CSS,SQL Server;MySQL;Oracle,AWS;SharePoint;Firebase,Angular;Node.js;Spring,14,Male,White or of European descent,30,2
,,2,5,2,STEM,300,4,65000,C#;JavaScript;SQL;HTML;CSS,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",,,14,Male,White or of European descent,30,2
1,,1,8,4,STEM,750,19,195000,Groovy;Java;JavaScript;Ruby;SQL;HTML;CSS;Bash/Shell,SQL Server,,Spring,12,Male,White or of European descent,40,5
,1,5,8,4,STEM,60,4,135000,C++;JavaScript;Python;R;Ruby;HTML;CSS;Bash/Shell,PostgreSQL;Amazon Redshift;Google BigQuery;Google Cloud Storage;Elasticsearch,Heroku,,12,Male,Other,30,4
3,,7,8,1,STEM,60,4,115000,C#;Java;JavaScript;Python;Scala;SQL;HTML;CSS,SQL Server;MySQL;PostgreSQL;MariaDB;Apache HBase;Apache Hive;Memcached,,Hadoop;Spark;Spring,8,,,,4
3,8,4,7,3,STEM,60,4,135000,Clojure;JavaScript;Python;Ruby;HTML;CSS;Bash/Shell,MongoDB;Redis;MySQL;PostgreSQL,AWS;Heroku;IBM Cloud or Watson;Linux;Mac OS;Raspberry Pi;Serverless;Firebase,Node.js;React;TensorFlow,12,Male,White or of European descent,30,4
2,3,2,10,1,NON-STEM,300,10,150000,C#;Java;JavaScript;SQL;TypeScript;VBA;VB.NET;Delphi/Object Pascal;Cobol;Bash/Shell,SQL Server;PostgreSQL,Linux;Raspberry Pi;SharePoint,Angular;.NET Core,14,Male,Hispanic or Latino/Latina,50,4
4,3,3,3,3,STEM,300,7,92000,C#;SQL;Bash/Shell,MongoDB;SQL Server;MySQL,Android;Windows Desktop or Server;Firebase,Angular;.NET Core;Node.js;React,14,Male,Hispanic or Latino/Latina,30,3
,1,1,6,3,STEM,15,16,92000,C#;JavaScript;SQL;VB.NET;HTML;CSS,SQL Server,Windows Desktop or Server,,14,Male,White or of European descent,40,3
4,5,3,8,4,NON-STEM,20000,7,160000,JavaScript;Python;R;Scala;SQL;HTML;CSS;Bash/Shell,PostgreSQL;SQLite;Elasticsearch,AWS;Heroku;Linux;Mac OS;Salesforce,Angular;Node.js;React;Spark,8,Male,White or of European descent,30,5
,1,1,6,4,STEM,60,1,65000,JavaScript;Python;R;HTML;CSS;Bash/Shell,Google BigQuery,Mac OS,,8,Non-Male,White or of European descent,30,2
1,2,7,11,3,,15,13,167000,Assembly;C;C++;C#;JavaScript;Lua;Python;SQL;HTML;CSS;Bash/Shell,Redis;SQL Server;MySQL;PostgreSQL;SQLite;MariaDB;Memcached,Linux;Mainframe,.NET Core,12,Male,White or of European descent,40,5
3,4,3,8,3,STEM,3000,30,108000,Java;JavaScript;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,MySQL;PostgreSQL;Oracle,Android;iOS;Linux;WordPress,Angular;Node.js;Cordova,12,Male,White or of European descent,60,4
4,2,2,5,4,NON-STEM,60,13,152740,Haskell;JavaScript;Python;SQL;Bash/Shell,Amazon RDS/Aurora;Elasticsearch,AWS;Serverless,Node.js;React;TensorFlow;Torch/PyTorch,12,Male,Hispanic or Latino/Latina,40,5
3,5,5,7,1,STEM,7500,4,71500,C#;Java;JavaScript;PHP;SQL;HTML;CSS,Redis;SQL Server;MySQL;SQLite;MariaDB,Android;Linux;Salesforce;Windows Desktop or Server;WordPress,.NET Core;Node.js;Cordova,14,Male,White or of European descent,30,2
2,7,1,11,3,STEM,20000,7,80000,C++;CoffeeScript;JavaScript;Lua;Perl;Python;Ruby;SQL;HTML;CSS;Bash/Shell,PostgreSQL,Arduino;AWS;Heroku;IBM Cloud or Watson;Linux;Mac OS;Raspberry Pi,TensorFlow;Torch/PyTorch,14,Male,White or of European descent,30,3
2,2,9,5,3,STEM,750,7,110000,C#;Java;Python;SQL;Bash/Shell,"MongoDB;SQL Server;MySQL;Oracle;Apache HBase;Apache Hive;Amazon Redshift;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc)",AWS;Azure,.NET Core;Hadoop,12,Male,White or of European descent,30,4
,1,2,2,3,STEM,3000,22,70000,SQL;HTML,SQL Server;MySQL,Windows Desktop or Server,,8,Non-Male,White or of European descent,60,2
1,3,3,4,4,STEM,60,10,88000,Julia;Matlab;Python;Bash/Shell,SQL Server;PostgreSQL;Elasticsearch,Linux;Mac OS;Windows Desktop or Server,React,12,Male,White or of European descent,30,3
2,3,8,13,3,STEM,60,10,130000,C;C++;Groovy;Java;JavaScript;PHP;Python;Scala;SQL;Kotlin;HTML;CSS;Bash/Shell,MongoDB;Redis;MySQL;PostgreSQL;MariaDB;Memcached;Amazon RDS/Aurora;Elasticsearch,AWS;Linux;Mac OS,Node.js;Spring,12,Male,East Asian,30,4
4,1,6,9,2,STEM,300,13,129000,Groovy;Java;JavaScript;Python;Scala;SQL;HTML;CSS;Bash/Shell,MongoDB;Redis;MySQL;PostgreSQL;MariaDB;Apache HBase,Linux,Node.js;React;Spark;Spring,12,Non-Male,White or of European descent,30,4
2,1,2,5,3,STEM,20000,1,76500,JavaScript;Python;SQL;HTML;CSS,SQL Server;PostgreSQL,Firebase,Angular;Node.js,12,Male,White or of European descent,30,3
4,3,3,13,4,STEM,20000,1,120000,C++;Java;JavaScript;Matlab;PHP;Python;Scala;SQL;Swift;Visual Basic 6;HTML;CSS;Bash/Shell,SQL Server;MySQL;SQLite,AWS;Raspberry Pi;WordPress,Hadoop;Node.js;Spark;TensorFlow,12,Male,Other,21,4
,2,1,4,3,STEM,60,13,110000,C#;SQL;VBA;VB.NET,SQL Server,SharePoint;Windows Desktop or Server,,12,,,30,4
1,4,5,11,4,STEM,7500,4,80000,C#;Go;JavaScript;Python;R;SQL;TypeScript;VBA;HTML;CSS;Bash/Shell,SQL Server;MySQL;PostgreSQL;SQLite;Oracle,Drupal;Linux;SharePoint;Windows Desktop or Server,.NET Core,8,Male,East Asian,40,3
1,3,8,8,1,STEM,60,4,70000,Erlang;Java;JavaScript;Python;Ruby;Rust;SQL;Bash/Shell,Redis;MySQL;PostgreSQL;SQLite;MariaDB;Amazon DynamoDB;Memcached;Amazon RDS/Aurora,AWS;Linux;Serverless,Spring,14,Non-Male,White or of European descent,30,2
,,1,3,3,STEM,300,30,145000,SQL;VBA;VB.NET,SQL Server,,,12,Male,White or of European descent,50,4
3,5,5,11,3,STEM,15,22,120000,C;Go;Java;JavaScript;PHP;Python;Ruby;SQL;HTML;CSS;Bash/Shell,Redis;MySQL;PostgreSQL;Memcached;Elasticsearch,AWS;Drupal;Google Cloud Platform/App Engine;Linux;WordPress,Angular;Django;Spring,12,Male,White or of European descent,40,4
1,1,1,6,3,NON-STEM,300,1,70000,C#;JavaScript;SQL;VB.NET;HTML;CSS,SQL Server,Windows Desktop or Server,Angular,8,Non-Male,White or of European descent,30,2
,3,1,6,3,STEM,3000,7,81000,C;C++;Haskell;JavaScript;HTML;CSS,Elasticsearch,Linux;Mac OS;Raspberry Pi,,12,Male,,30,3
1,5,8,5,4,NON-STEM,15,19,180000,JavaScript;Python;HTML;CSS;Bash/Shell,MongoDB;Redis;PostgreSQL;Amazon DynamoDB;Amazon RDS/Aurora;Google Cloud Storage;Neo4j;Elasticsearch,AWS;Google Cloud Platform/App Engine;Heroku;Linux;Raspberry Pi,Node.js,14,Male,,40,5
1,,,1,4,STEM,20000,1,66500,Java,,,Hadoop,8,Non-Male,White or of European descent,21,2
4,4,3,9,3,STEM,300,16,160000,Java;JavaScript;Python;Ruby;SQL;TypeScript;HTML;CSS;Bash/Shell,PostgreSQL;Google Cloud Storage;Elasticsearch,AWS;Google Cloud Platform/App Engine;Linux;Mac OS,Angular;Node.js;Spark;Spring,12,Male,White or of European descent,40,5
2,2,2,6,4,STEM,60,19,110000,JavaScript;R;SQL;TypeScript;HTML;CSS,Redis;PostgreSQL,Linux;Salesforce,Angular;Node.js,12,Male,White or of European descent,40,4
1,1,1,5,3,STEM,15,4,97000,C#;JavaScript;SQL;HTML;CSS,SQL Server,Windows Desktop or Server,Angular,12,Male,White or of European descent,30,3
4,,7,7,4,NON-STEM,60,4,70000,Java;JavaScript;Python;R;SQL;VBA;Bash/Shell,"SQL Server;MySQL;PostgreSQL;Apache Hive;Amazon Redshift;Google BigQuery;Microsoft Azure (Tables, CosmosDB, SQL, etc)",,.NET Core;Hadoop;Spark;TensorFlow,12,Male,White or of European descent,30,2
,1,4,8,4,NON-STEM,7500,10,90000,JavaScript;PHP;Python;R;SQL;HTML;CSS;Bash/Shell,MySQL;PostgreSQL;SQLite;MariaDB,AWS,,14,Male,White or of European descent,30,3
2,2,8,5,1,,60,1,45000,C;C++;JavaScript;Python;Rust,MongoDB;Redis;SQL Server;MySQL;PostgreSQL;Amazon DynamoDB;Google BigQuery;Google Cloud Storage,AWS;Google Cloud Platform/App Engine,React;TensorFlow,12,Male,White or of European descent,21,1
4,6,3,9,1,STEM,20000,19,95000,C#;Java;JavaScript;VBA;VB.NET;Visual Basic 6;HTML;CSS;Bash/Shell,MongoDB;SQL Server;MySQL,Azure;Linux;Mac OS;Windows Desktop or Server;Windows Phone;Firebase,Angular;.NET Core;Node.js;Xamarin,14,Male,East Asian,40,3
,,,,4,STEM,750,4,140000,,,,,8,,,,4
3,1,1,8,3,STEM,300,1,90000,JavaScript;Matlab;Perl;Python;R;Scala;SQL;Bash/Shell,MySQL,AWS,Node.js;Spark;TensorFlow,12,Male,White or of European descent,30,3
3,6,7,6,3,NON-STEM,60,10,102000,JavaScript;PHP;SQL;HTML;CSS;Bash/Shell,MongoDB;SQL Server;MySQL;PostgreSQL;SQLite;Oracle;MariaDB,AWS;Drupal;Google Cloud Platform/App Engine;Linux;Salesforce;WordPress,Node.js;Cordova;Xamarin,8,Male,,50,4
2,5,1,5,3,STEM,3000,1,60000,C#;JavaScript;SQL;HTML;CSS,SQL Server,AWS;Drupal;Salesforce;SharePoint;Windows Desktop or Server,Angular;.NET Core,8,,,,2
2,3,4,8,4,NON-STEM,3000,4,57000,JavaScript;PHP;Python;Ruby;SQL;HTML;CSS;Bash/Shell,MySQL;SQLite;MariaDB;Elasticsearch,Linux;Mac OS;WordPress,Django;Node.js,12,Non-Male,White or of European descent,30,2
,3,1,4,3,STEM,15,4,225000,C++;JavaScript;Rust;HTML,PostgreSQL,Google Cloud Platform/App Engine;Linux;Raspberry Pi,,12,Male,White or of European descent,30,6
,3,2,7,4,STEM,300,16,62000,CoffeeScript;Java;JavaScript;Ruby;SQL;HTML;CSS,SQL Server;MySQL,Arduino;Linux;Mac OS,,8,Non-Male,White or of European descent,40,2
2,5,3,7,3,STEM,7500,16,130000,C#;JavaScript;Python;SQL;TypeScript;HTML;CSS,SQL Server;MySQL;Elasticsearch,Android;AWS;iOS;SharePoint;Windows Desktop or Server,.NET Core;Node.js,8,Male,White or of European descent,40,4
,1,1,2,3,STEM,7500,30,170000,C#;SQL,SQL Server,Windows Desktop or Server,,12,Male,White or of European descent,60,5
,,,6,3,STEM,60,1,77000,C#;Python;R;SQL;VBA;Bash/Shell,,,,,,,,3
1,,2,6,4,STEM,60,1,70000,JavaScript;Python;SQL;HTML;CSS;Bash/Shell,PostgreSQL;Google BigQuery,,Django,12,Male,White or of European descent,30,2
,3,,10,4,STEM,60,1,97000,C;C++;Java;JavaScript;Matlab;Python;R;HTML;CSS;Bash/Shell,,Android;Linux;Raspberry Pi,,12,Male,Other,30,3
2,3,3,7,3,STEM,60,4,65000,JavaScript;PHP;SQL;VB.NET;Visual Basic 6;HTML;CSS,SQL Server;MySQL;Elasticsearch,Salesforce;SharePoint;Windows Desktop or Server,.NET Core;Node.js,12,Male,White or of European descent,30,2
2,1,2,8,2,STEM,3000,13,87000,C;C#;JavaScript;Python;SQL;VBA;HTML;CSS,MongoDB;SQL Server,Windows Desktop or Server,.NET Core;Xamarin,12,Male,White or of European descent,40,3
2,3,3,9,3,STEM,60,4,44000,C;Go;JavaScript;PHP;Python;Rust;HTML;CSS;Bash/Shell,PostgreSQL;MariaDB;Elasticsearch,Amazon Echo;Linux;Windows Desktop or Server,Django;Node.js,14,Male,White or of European descent,30,1
,1,1,6,3,NON-STEM,60,1,50000,JavaScript;Python;SQL;HTML;CSS;Bash/Shell,PostgreSQL,Mac OS,,12,Male,White or of European descent,30,1
,,1,7,2,STEM,5,13,80000,JavaScript;Perl;PHP;SQL;HTML;CSS;Bash/Shell,MySQL,,,8,Male,White or of European descent,50,3
4,6,7,7,1,STEM,20000,4,115000,Go;JavaScript;Python;SQL;HTML;CSS;Bash/Shell,MongoDB;SQL Server;MySQL;PostgreSQL;SQLite;Oracle;Elasticsearch,AWS;Azure;Linux;Raspberry Pi;SharePoint;Windows Desktop or Server,Angular;Django;TensorFlow;Torch/PyTorch,14,Male,White or of European descent,30,4
2,1,,14,3,STEM,20000,4,106000,C;C++;C#;Groovy;JavaScript;Lua;Python;Ruby;VBA;VB.NET;Visual Basic 6;HTML;CSS;Bash/Shell,,Windows Desktop or Server,.NET Core;Node.js,8,Male,White or of European descent,30,4
