NUMFRAMEWORKS,NUMPLATFORM,NUMDATABASE,numberlang,FormalEducation,UndergradMajor,CompanySize,YearsCodingProf,ConvertedSalary,LanguageWorkedWith,DatabaseWorkedWith,PlatformWorkedWith,FrameworkWorkedWith,HoursComputer,Gender,RaceEthnicity,Age,SalaryRange
2,6,6,7,3,STEM,20000,1,60000,Java;Python;Ruby;SQL;VBA;HTML;Bash/Shell,Redis;SQL Server;MySQL;MariaDB;Amazon RDS/Aurora;Elasticsearch,AWS;Azure;Linux;Mac OS;SharePoint;Windows Desktop or Server,Django;TensorFlow,12,Male,White or of European descent,21,2
,1,1,3,3,STEM,300,1,52000,Java;Python;VBA,SQL Server,Windows Desktop or Server,,8,,,,2
2,,1,5,3,NON-STEM,300,1,57000,JavaScript;Python;HTML;CSS;Bash/Shell,PostgreSQL,,Django;React,12,Male,White or of European descent,30,2
3,2,2,6,1,,60,30,92000,C#;JavaScript;SQL;TypeScript;HTML;CSS,"SQL Server;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Azure;Windows Desktop or Server,Angular;.NET Core;Node.js,14,Male,White or of European descent,50,3
4,6,10,16,3,STEM,300,30,140000,C;C++;C#;Clojure;Groovy;Java;JavaScript;Perl;PHP;Python;SQL;TypeScript;Delphi/Object Pascal;HTML;CSS;Bash/Shell,MongoDB;SQL Server;MySQL;PostgreSQL;Oracle;MariaDB;Amazon Redshift;Google Cloud Storage;Neo4j;Elasticsearch,Android;AWS;Linux;Raspberry Pi;SharePoint;Windows Desktop or Server,Angular;Node.js;React;Spring,14,Male,White or of European descent,50,4
3,3,6,7,1,NON-STEM,60,10,78000,Go;JavaScript;PHP;Python;SQL;HTML;CSS,Redis;MySQL;PostgreSQL;MariaDB;Memcached;Elasticsearch,Linux;Raspberry Pi;WordPress,Django;Node.js;React,12,Male,White or of European descent,30,3
3,2,4,5,3,STEM,20000,7,130000,C++;Python;SQL;HTML;Bash/Shell,MongoDB;Redis;MySQL;PostgreSQL,Linux;Mac OS,Django;TensorFlow;Torch/PyTorch,14,Male,White or of European descent,40,4
,2,1,4,3,STEM,60,4,60000,Python;R;SQL;Bash/Shell,SQL Server,Linux;Windows Desktop or Server,,12,Male,White or of European descent,30,2
,3,4,9,4,STEM,20000,30,160000,C#;JavaScript;Perl;PHP;Python;Ruby;Swift;HTML;CSS,SQL Server;MySQL;Amazon DynamoDB;Amazon RDS/Aurora,AWS;Salesforce;SharePoint,,8,Male,White or of European descent,50,5
2,7,1,10,1,NON-STEM,60,22,130000,C;C++;C#;JavaScript;Perl;Python;Ruby;SQL;HTML;Bash/Shell,SQL Server,Android;AWS;iOS;Linux;Mac OS;Windows Desktop or Server;Windows Phone,.NET Core;Node.js,12,Male,White or of European descent,40,4
,,1,1,4,NON-STEM,3000,7,120000,SQL,Oracle,,,12,Male,White or of European descent,40,4
,2,1,6,3,STEM,60,4,60000,C#;Java;JavaScript;Kotlin;HTML;CSS,SQL Server,AWS;Windows Desktop or Server,,12,,,,2
,2,1,4,3,NON-STEM,300,4,54000,C++;R;SQL;VBA,SQL Server,Arduino;Linux,,12,Male,White or of European descent,30,2
3,,3,8,3,STEM,20000,10,102000,C#;JavaScript;Python;Scala;SQL;Swift;HTML;CSS,"SQL Server;Apache Hive;Microsoft Azure (Tables, CosmosDB, SQL, etc)",,Hadoop;Spark;TensorFlow,14,,White or of European descent,30,4
4,4,4,10,4,NON-STEM,20000,13,130000,C#;F#;JavaScript;Lua;Python;SQL;TypeScript;HTML;CSS;Bash/Shell,"Redis;SQL Server;Oracle;Microsoft Azure (Tables, CosmosDB, SQL, etc)",Azure;SharePoint;Windows Desktop or Server;WordPress,.NET Core;Hadoop;Node.js;React,12,,,,4
